train_size,err_rate
5,0.2
10,0.2
20,0.2
50,0.04
75,0.05333333333333334
100,0.05
150,0.02666666666666667
5,0.4
10,0.6
20,0.55
50,0.08
75,0.04
100,0.02
150,0.02666666666666667
5,0.2
10,0.6
20,0.9
50,0.06
75,0.04
100,0.03
150,0.02666666666666667
5,0.4
10,0.5
20,0.25
50,0.08
75,0.06666666666666667
100,0.03
150,0.02666666666666667
5,0.4
10,0.0
20,0.85
50,0.08
75,0.06666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.06
75,0.08
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.6
50,0.02
75,0.02666666666666667
100,0.03
150,0.02666666666666667
5,0.4
10,0.4
20,0.5
50,0.04
75,0.04
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.08
75,0.06666666666666667
100,0.06
150,0.02666666666666667
5,0.4
10,0.4
20,0.6
50,0.08
75,0.06666666666666667
100,0.07
150,0.02666666666666667
5,0.4
10,0.5
20,0.25
50,0.12
75,0.06666666666666667
100,0.06
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.1
75,0.04
100,0.02
150,0.02666666666666667
5,0.4
10,0.5
20,0.65
50,0.06
75,0.06666666666666667
100,0.03
150,0.02666666666666667
5,0.2
10,0.4
20,0.3
50,0.08
75,0.05333333333333334
100,0.04
150,0.02666666666666667
5,0.4
10,0.4
20,0.15
50,0.14
75,0.09333333333333334
100,0.05
150,0.02666666666666667
5,0.0
10,0.4
20,0.55
50,0.08
75,0.04
100,0.03
150,0.02666666666666667
5,0.4
10,0.5
20,0.25
50,0.06
75,0.02666666666666667
100,0.03
150,0.02666666666666667
5,0.4
10,0.0
20,0.5
50,0.08
75,0.06666666666666667
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.35
50,0.06
75,0.02666666666666667
100,0.06
150,0.02666666666666667
5,0.4
10,0.6
20,0.85
50,0.04
75,0.05333333333333334
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.25
50,0.14
75,0.09333333333333334
100,0.07
150,0.02666666666666667
5,0.2
10,0.5
20,0.9
50,0.08
75,0.06666666666666667
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.08
75,0.08
100,0.04
150,0.02666666666666667
5,0.4
10,0.5
20,0.6
50,0.08
75,0.05333333333333334
100,0.03
150,0.02666666666666667
5,0.4
10,0.6
20,0.55
50,0.06
75,0.02666666666666667
100,0.06
150,0.02666666666666667
5,0.2
10,0.2
20,0.55
50,0.06
75,0.08
100,0.08
150,0.02666666666666667
5,0.4
10,0.4
20,0.55
50,0.04
75,0.04
100,0.02
150,0.02666666666666667
5,0.2
10,0.4
20,0.5
50,0.06
75,0.08
100,0.06
150,0.02666666666666667
5,0.4
10,0.6
20,0.6
50,0.02
75,0.02666666666666667
100,0.05
150,0.02666666666666667
5,0.2
10,0.6
20,0.35
50,0.08
75,0.06666666666666667
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.55
50,0.08
75,0.08
100,0.07
150,0.02666666666666667
5,0.4
10,0.1
20,0.55
50,0.1
75,0.06666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.5
20,0.55
50,0.06
75,0.02666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.06
75,0.05333333333333334
100,0.03
150,0.02666666666666667
5,0.2
10,0.2
20,0.75
50,0.08
75,0.06666666666666667
100,0.02
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.14
75,0.04
100,0.01
150,0.02666666666666667
5,0.2
10,0.5
20,0.3
50,0.08
75,0.04
100,0.06
150,0.02666666666666667
5,0.2
10,0.6
20,0.75
50,0.08
75,0.05333333333333334
100,0.03
150,0.02666666666666667
5,0.4
10,0.5
20,0.3
50,0.08
75,0.04
100,0.04
150,0.02666666666666667
5,0.4
10,0.2
20,0.45
50,0.06
75,0.013333333333333334
100,0.02
150,0.02666666666666667
5,0.4
10,0.4
20,0.55
50,0.06
75,0.013333333333333334
100,0.01
150,0.02666666666666667
5,0.2
10,0.2
20,0.55
50,0.06
75,0.05333333333333334
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.06
75,0.06666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.4
20,0.65
50,0.08
75,0.05333333333333334
100,0.06
150,0.02666666666666667
5,0.4
10,0.5
20,0.6
50,0.1
75,0.04
100,0.03
150,0.02666666666666667
5,0.4
10,0.4
20,0.15
50,0.04
75,0.04
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.04
75,0.06666666666666667
100,0.07
150,0.02666666666666667
5,0.2
10,0.2
20,0.3
50,0.06
75,0.02666666666666667
100,0.03
150,0.02666666666666667
5,0.0
10,0.2
20,0.4
50,0.1
75,0.08
100,0.06
150,0.02666666666666667
5,0.4
10,0.5
20,0.6
50,0.04
75,0.06666666666666667
100,0.06
150,0.02666666666666667
5,0.4
10,0.6
20,0.65
50,0.08
75,0.06666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.3
20,0.55
50,0.1
75,0.04
100,0.04
150,0.02666666666666667
5,0.4
10,0.6
20,0.7
50,0.08
75,0.04
100,0.05
150,0.02666666666666667
5,0.4
10,0.2
20,0.6
50,0.08
75,0.04
100,0.03
150,0.02666666666666667
5,0.2
10,0.2
20,0.55
50,0.06
75,0.02666666666666667
100,0.03
150,0.02666666666666667
5,0.2
10,0.6
20,0.6
50,0.08
75,0.09333333333333334
100,0.07
150,0.02666666666666667
5,0.4
10,0.6
20,0.95
50,0.04
75,0.06666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.2
20,0.25
50,0.08
75,0.05333333333333334
100,0.03
150,0.02666666666666667
5,0.6
10,0.4
20,0.55
50,0.08
75,0.05333333333333334
100,0.06
150,0.02666666666666667
5,0.2
10,0.4
20,0.6
50,0.02
75,0.04
100,0.01
150,0.02666666666666667
5,0.4
10,0.5
20,0.2
50,0.1
75,0.06666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.4
20,0.2
50,0.04
75,0.08
100,0.07
150,0.02666666666666667
5,0.2
10,0.5
20,0.3
50,0.06
75,0.04
100,0.03
150,0.02666666666666667
5,0.4
10,0.5
20,0.35
50,0.04
75,0.05333333333333334
100,0.06
150,0.02666666666666667
5,0.4
10,0.4
20,0.35
50,0.06
75,0.05333333333333334
100,0.03
150,0.02666666666666667
5,0.2
10,0.2
20,0.5
50,0.08
75,0.06666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.4
20,0.4
50,0.1
75,0.02666666666666667
100,0.03
150,0.02666666666666667
5,0.2
10,0.4
20,0.2
50,0.04
75,0.06666666666666667
100,0.03
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.04
75,0.04
100,0.04
150,0.02666666666666667
5,0.4
10,0.5
20,0.3
50,0.08
75,0.04
100,0.04
150,0.02666666666666667
5,0.4
10,0.6
20,0.6
50,0.1
75,0.08
100,0.03
150,0.02666666666666667
5,0.2
10,0.6
20,0.35
50,0.08
75,0.06666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.6
20,0.25
50,0.04
75,0.05333333333333334
100,0.03
150,0.02666666666666667
5,0.4
10,0.5
20,0.25
50,0.04
75,0.02666666666666667
100,0.02
150,0.02666666666666667
5,0.4
10,0.6
20,0.9
50,0.06
75,0.02666666666666667
100,0.04
150,0.02666666666666667
5,0.2
10,0.5
20,0.6
50,0.04
75,0.04
100,0.05
150,0.02666666666666667
5,0.4
10,0.4
20,0.4
50,0.06
75,0.02666666666666667
100,0.03
150,0.02666666666666667
5,0.4
10,0.5
20,0.15
50,0.1
75,0.06666666666666667
100,0.06
150,0.02666666666666667
5,0.4
10,0.6
20,0.55
50,0.08
75,0.02666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.5
20,0.25
50,0.04
75,0.08
100,0.06
150,0.02666666666666667
5,0.2
10,0.6
20,0.8
50,0.08
75,0.04
100,0.04
150,0.02666666666666667
5,0.4
10,0.5
20,0.3
50,0.08
75,0.06666666666666667
100,0.03
150,0.02666666666666667
5,0.2
10,0.3
20,0.45
50,0.14
75,0.08
100,0.04
150,0.02666666666666667
5,0.4
10,0.2
20,0.1
50,0.1
75,0.09333333333333334
100,0.07
150,0.02666666666666667
5,0.4
10,0.6
20,0.65
50,0.08
75,0.06666666666666667
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.2
50,0.06
75,0.04
100,0.03
150,0.02666666666666667
5,0.4
10,0.3
20,0.5
50,0.04
75,0.06666666666666667
100,0.04
150,0.02666666666666667
5,0.4
10,0.6
20,0.45
50,0.06
75,0.04
100,0.07
150,0.02666666666666667
5,0.4
10,0.6
20,0.55
50,0.08
75,0.08
100,0.04
150,0.02666666666666667
5,0.2
10,0.4
20,0.25
50,0.04
75,0.02666666666666667
100,0.05
150,0.02666666666666667
5,0.4
10,0.5
20,0.5
50,0.06
75,0.06666666666666667
100,0.02
150,0.02666666666666667
5,0.4
10,0.6
20,0.25
50,0.1
75,0.09333333333333334
100,0.07
150,0.02666666666666667
5,0.2
10,0.6
20,0.65
50,0.06
75,0.04
100,0.04
150,0.02666666666666667
5,0.4
10,0.4
20,0.5
50,0.08
75,0.04
100,0.05
150,0.02666666666666667
5,0.6
10,0.5
20,0.8
50,0.1
75,0.06666666666666667
100,0.05
150,0.02666666666666667
5,0.2
10,0.5
20,0.55
50,0.1
75,0.09333333333333334
100,0.06
150,0.02666666666666667
5,0.4
10,0.6
20,0.5
50,0.02
75,0.02666666666666667
100,0.02
150,0.02666666666666667
5,0.2
10,0.2
20,0.25
50,0.14
75,0.08
100,0.06
150,0.02666666666666667
5,0.4
10,0.6
20,0.25
50,0.06
75,0.05333333333333334
100,0.03
150,0.02666666666666667
5,0.2
10,0.5
20,0.15
50,0.06
75,0.05333333333333334
100,0.06
150,0.02666666666666667
